block_id	best	delta_lik	lik_t1	lik_t2	lik_t3
NC_031969.f5.masked_10588001_10588999	t2	.5173	-1159.1674	-1158.6501	-1166.6300
NC_031969.f5.masked_10606001_10606999	t2	6.3925	-1044.1410	-1037.7485	-1050.2897
NC_031969.f5.masked_10613001_10613999	t1	.0552	-1252.4291	-1252.4845	-1252.4843
NC_031969.f5.masked_10623001_10623999	t3	.0040	-1203.8001	-1203.7971	-1203.7931
NC_031969.f5.masked_10625001_10625999	t2	6.6005	-1043.0287	-1035.3299	-1041.9304
NC_031969.f5.masked_10628001_10628999	t1	.0198	-1327.7079	-1327.7277	-1327.7399
NC_031969.f5.masked_10646001_10646999	t3	.0004	-1109.8856	-1109.6763	-1109.6759
NC_031969.f5.masked_10667001_10667999	t1	.0046	-1244.5356	-1244.5540	-1244.5402
NC_031969.f5.masked_10677001_10677999	t1	4.6303	-1335.3775	-1340.0078	-1342.2768
NC_031969.f5.masked_10679001_10679999	t1	6.0858	-1062.1947	-1068.2805	-1070.4177
NC_031969.f5.masked_10691001_10691999	t2	7.1475	-1076.6923	-1069.5448	-1076.7329
NC_031969.f5.masked_10706001_10706999	t1	11.0428	-1165.0009	-1184.4250	-1176.0437
NC_031969.f5.masked_10709001_10709999	t1	.0703	-1282.3591	-1282.4294	-1289.9678
NC_031969.f5.masked_10716001_10716999	t3	7.3691	-1280.6209	-1274.1373	-1266.7682
NC_031969.f5.masked_10720001_10720999	t1	6.6540	-1069.4064	-1087.8325	-1076.0604
NC_031969.f5.masked_10721001_10721999	t1	14.3118	-1176.8280	-1191.1398	-1191.1415
NC_031969.f5.masked_10727001_10727999	t2	.5182	-1163.9257	-1163.4075	-1163.9257
NC_031969.f5.masked_10734001_10734999	t1	6.4898	-1097.8223	-1104.3121	-1109.3410
NC_031969.f5.masked_10743001_10743999	t2	.0045	-1171.4660	-1171.4300	-1171.4345
NC_031969.f5.masked_10761001_10761999	t3	.0003	-1088.8605	-1088.8598	-1088.8595
NC_031969.f5.masked_10766001_10766999	t1	5.4154	-1192.0371	-1210.3677	-1197.4525
NC_031969.f5.masked_10768001_10768999	t2	1.2769	-1285.7358	-1279.6235	-1280.9004
NC_031969.f5.masked_10770001_10770999	t2	5.5089	-1262.9139	-1255.7636	-1261.2725
NC_031969.f5.masked_10780001_10780999	t1	7.4390	-1010.1846	-1017.6236	-1017.6237
NC_031969.f5.masked_10789001_10789999	t1	.1268	-1131.1835	-1131.3103	-1131.3161
NC_031969.f5.masked_10804001_10804999	t3	.0050	-1107.9714	-1107.9745	-1107.9664
NC_031969.f5.masked_10815001_10815999	t1	.0445	-1223.4584	-1224.3656	-1223.5029
NC_031969.f5.masked_10816001_10816999	t2	2.1036	-1087.8618	-1078.7649	-1080.8685
NC_031969.f5.masked_10822001_10822999	t2	1.0839	-1078.2829	-1077.1990	-1082.8428
NC_031969.f5.masked_10827001_10827999	t1	20.7512	-1128.2067	-1148.9579	-1149.3101
NC_031969.f5.masked_10832001_10832999	t2	.6654	-1188.5228	-1187.7699	-1188.4353
NC_031969.f5.masked_10845001_10845999	t2	6.1697	-1160.8618	-1153.4863	-1159.6560
NC_031969.f5.masked_10848001_10848999	t3	.0006	-1002.1538	-1002.1484	-1002.1478
NC_031969.f5.masked_10863001_10863999	t3	.0017	-1122.2015	-1122.1974	-1122.1957
NC_031969.f5.masked_10890001_10890999	t1	.0055	-996.3740	-996.4162	-996.3795
NC_031969.f5.masked_10896001_10896999	t1	7.5822	-1006.2690	-1013.8540	-1013.8512
NC_031969.f5.masked_10954001_10954999	t1	8.2570	-1221.6780	-1229.9350	-1231.3238
NC_031969.f5.masked_10955001_10955999	t2	.0003	-1156.7239	-1156.7236	-1165.2991
NC_031969.f5.masked_10973001_10973999	t3	.0008	-1342.0585	-1342.0585	-1342.0577
NC_031969.f5.masked_10974001_10974999	t1	.0027	-1399.8870	-1399.8897	-1399.8906
NC_031969.f5.masked_10975001_10975999	t2	7.5043	-1454.5515	-1447.0469	-1454.5512
NC_031969.f5.masked_10976001_10976999	t3	1.1183	-1093.9973	-1103.6866	-1092.8790
NC_031969.f5.masked_10977001_10977999	t1	17.0590	-1183.1768	-1200.2358	-1208.7368
NC_031969.f5.masked_10983001_10983999	t3	.0003	-1020.0216	-1020.0108	-1020.0105
NC_031969.f5.masked_10988001_10988999	t2	.0027	-1155.3363	-1155.3336	-1155.3384
NC_031969.f5.masked_10989001_10989999	t2	6.2385	-1055.0509	-1048.8124	-1061.6557
NC_031969.f5.masked_10997001_10997999	t1	.0003	-1031.5618	-1031.5621	-1031.5621
NC_031969.f5.masked_11011001_11011999	t2	1.3847	-1075.4075	-1074.0228	-1080.1156
NC_031969.f5.masked_11013001_11013999	t2	.0212	-1064.0790	-1064.0578	-1064.0858
NC_031969.f5.masked_11014001_11014999	t1	.0012	-1074.6968	-1074.6992	-1074.6980
NC_031969.f5.masked_11016001_11016999	t1	.0275	-1027.9447	-1027.9915	-1027.9722
NC_031969.f5.masked_11070001_11070999	t1	1.3753	-1006.4209	-1007.7962	-1014.8567
NC_031969.f5.masked_11119001_11119999	t2	16.8387	-1289.7709	-1270.6377	-1287.4764
NC_031969.f5.masked_11177001_11177999	t2	.0003	-1029.9665	-1029.9662	-1029.9665
NC_031969.f5.masked_11203001_11203999	t3	.4128	-1154.7895	-1154.7798	-1154.3670
NC_031969.f5.masked_11235001_11235999	t1	.0003	-1146.1401	-1146.1657	-1146.1404
NC_031969.f5.masked_11236001_11236999	t1	.0007	-1371.3127	-1371.3171	-1371.3134
NC_031969.f5.masked_11237001_11237999	t1	.0001	-1430.4811	-1430.4812	-1430.4815
NC_031969.f5.masked_11309001_11309999	t1	7.2282	-1138.1840	-1150.4745	-1145.4122
NC_031969.f5.masked_11322001_11322999	t2	7.3788	-1059.8281	-1052.4243	-1059.8031
NC_031969.f5.masked_11386001_11386999	t2	.0191	-1138.6632	-1138.6441	-1146.8741
NC_031969.f5.masked_11399001_11399999	t2	.0069	-1138.8926	-1138.8286	-1138.8355
NC_031969.f5.masked_11400001_11400999	t2	.1896	-1131.3048	-1131.1152	-1140.9060
NC_031969.f5.masked_11401001_11401999	t1	6.1924	-1206.4748	-1212.6687	-1212.6672
NC_031969.f5.masked_11402001_11402999	t1	.5382	-1265.1886	-1265.7268	-1271.3179
NC_031969.f5.masked_11403001_11403999	t2	11.2303	-1219.5531	-1207.9527	-1219.1830
NC_031969.f5.masked_11405001_11405999	t1	6.9715	-1191.3167	-1198.8046	-1198.2882
NC_031969.f5.masked_11407001_11407999	t3	20.9446	-1081.5335	-1081.5330	-1060.5884
NC_031969.f5.masked_11410001_11410999	t1	16.9245	-1166.9900	-1187.2123	-1183.9145
NC_031969.f5.masked_11418001_11418999	t2	.0066	-1072.1588	-1072.1522	-1072.1588
NC_031969.f5.masked_11424001_11424999	t3	7.8977	-1300.2370	-1300.7417	-1292.3393
NC_031969.f5.masked_11431001_11431999	t2	1.6200	-1094.1340	-1092.5140	-1094.1714
NC_031969.f5.masked_11440001_11440999	t3	.0159	-1107.8069	-1107.7379	-1107.7220
NC_031969.f5.masked_11441001_11441999	t2	.0426	-1061.8454	-1061.7887	-1061.8313
NC_031969.f5.masked_11442001_11442999	t1	.0005	-1096.9281	-1096.9286	-1096.9297
NC_031969.f5.masked_11443001_11443999	t3	.0002	-941.7149	-949.6259	-941.7147
NC_031969.f5.masked_11450001_11450999	t1	.0005	-1230.5673	-1230.5678	-1230.5678
NC_031969.f5.masked_11451001_11451999	t1	7.5818	-1130.3402	-1137.9220	-1137.9239
NC_031969.f5.masked_11453001_11453999	t3	.1000	-1264.1999	-1264.2039	-1264.0999
NC_031969.f5.masked_11454001_11454999	t2	.0232	-1001.7928	-1001.7696	-1001.8193
NC_031969.f5.masked_11456001_11456999	t1	.0002	-1112.2773	-1112.2782	-1112.2775
NC_031969.f5.masked_11458001_11458999	t3	.0002	-1052.1860	-1052.1860	-1052.1858
NC_031969.f5.masked_11459001_11459999	t1	26.7558	-1196.4780	-1229.9559	-1223.2338
NC_031969.f5.masked_11461001_11461999	t1	8.8974	-1253.4810	-1262.4216	-1262.3784
NC_031969.f5.masked_11462001_11462999	t1	.0004	-1024.4541	-1024.4582	-1024.4545
NC_031969.f5.masked_11463001_11463999	t2	.0001	-1178.4348	-1178.4331	-1178.4332
NC_031969.f5.masked_11466001_11466999	t1	6.9252	-1085.2409	-1092.1661	-1092.1809
NC_031969.f5.masked_11469001_11469999	t3	.0001	-959.0034	-959.0030	-959.0029
NC_031969.f5.masked_11470001_11470999	t1	6.8697	-1129.7109	-1136.5816	-1136.5806
NC_031969.f5.masked_11471001_11471999	t1	.5490	-1118.7473	-1119.2963	-1119.4010
NC_031969.f5.masked_11474001_11474999	t3	8.5967	-1003.5632	-1003.5931	-994.9665
NC_031969.f5.masked_11477001_11477999	t3	.0153	-1219.1529	-1225.3819	-1219.1376
NC_031969.f5.masked_11478001_11478999	t3	.0294	-1384.8841	-1384.8853	-1384.8547
NC_031969.f5.masked_11479001_11479999	t3	7.1333	-1268.6346	-1267.2941	-1260.1608
NC_031969.f5.masked_11485001_11485999	t3	7.7746	-1431.3457	-1431.3500	-1423.5711
NC_031969.f5.masked_11486001_11486999	t1	5.6558	-1016.1370	-1023.1740	-1021.7928
NC_031969.f5.masked_11487001_11487999	t1	.0012	-1055.2610	-1059.1047	-1055.2622
NC_031969.f5.masked_11488001_11488999	t2	.0485	-1325.6558	-1325.6073	-1325.6835
NC_031969.f5.masked_11490001_11490999	t3	.0362	-1281.1570	-1281.1613	-1281.1208
NC_031969.f5.masked_11491001_11491999	t2	.0031	-1120.1371	-1120.1340	-1120.1375
NC_031969.f5.masked_11494001_11494999	t2	.0063	-1319.3688	-1319.3625	-1319.4061
NC_031969.f5.masked_11495001_11495999	t1	.0035	-1375.9784	-1375.9819	-1375.9819
NC_031969.f5.masked_11496001_11496999	t2	.0064	-1054.9944	-1054.9880	-1055.0662
NC_031969.f5.masked_11507001_11507999	t3	.0071	-983.1129	-976.0255	-976.0184
NC_031969.f5.masked_11516001_11516999	t2	8.3368	-1200.3323	-1191.9955	-1200.7346
NC_031969.f5.masked_11518001_11518999	t1	.0004	-1164.2006	-1164.2015	-1164.2010
NC_031969.f5.masked_11521001_11521999	t3	.0066	-1120.3636	-1120.3666	-1120.3570
NC_031969.f5.masked_11522001_11522999	t3	6.9057	-1183.5491	-1184.1008	-1176.6434
NC_031969.f5.masked_11524001_11524999	t2	.0006	-1156.8550	-1156.8543	-1156.8549
NC_031969.f5.masked_11525001_11525999	t1	.0019	-967.2428	-967.2447	-967.2836
NC_031969.f5.masked_11561001_11561999	t2	12.8282	-1263.3127	-1249.9024	-1262.7306
NC_031969.f5.masked_11593001_11593999	t1	14.3243	-1207.3020	-1221.6263	-1221.6447
NC_031969.f5.masked_11602001_11602999	t3	.0005	-1206.5146	-1206.5150	-1206.5141
NC_031969.f5.masked_11603001_11603999	t1	9.2926	-1218.0014	-1234.2682	-1227.2940
NC_031969.f5.masked_11649001_11649999	t1	4.6287	-1229.8960	-1241.0729	-1234.5247
NC_031969.f5.masked_11665001_11665999	t3	6.5618	-1133.6620	-1134.8804	-1127.1002
NC_031969.f5.masked_11671001_11671999	t1	.0312	-1144.0757	-1152.0392	-1144.1069
NC_031969.f5.masked_11681001_11681999	t3	.0058	-1185.2826	-1185.3015	-1185.2768
NC_031969.f5.masked_11682001_11682999	t1	8.1967	-1196.2771	-1204.4738	-1204.4738
NC_031969.f5.masked_11688001_11688999	t1	.0006	-1084.7285	-1084.7297	-1084.7291
NC_031969.f5.masked_11708001_11708999	t1	6.9583	-1004.4645	-1011.4228	-1011.4256
NC_031969.f5.masked_11713001_11713999	t3	.0168	-1107.9739	-1107.9739	-1107.9571
NC_031969.f5.masked_11714001_11714999	t3	.0002	-1123.7939	-1116.8103	-1116.8101
NC_031969.f5.masked_11733001_11733999	t1	.0003	-1059.1794	-1059.1797	-1066.1381
NC_031969.f5.masked_11769001_11769999	t1	4.7127	-1227.1904	-1231.9031	-1231.9184
NC_031969.f5.masked_11801001_11801999	t1	5.8759	-1039.6967	-1046.0662	-1045.5726
NC_031969.f5.masked_11806001_11806999	t2	7.9809	-1000.3990	-992.4181	-1000.3993
NC_031969.f5.masked_11814001_11814999	t1	.0002	-1094.7124	-1094.7128	-1094.7126
NC_031969.f5.masked_11815001_11815999	t3	.0001	-1198.5951	-1198.5945	-1198.5944
NC_031969.f5.masked_11816001_11816999	t1	.0028	-1423.3731	-1423.3759	-1423.3790
NC_031969.f5.masked_11817001_11817999	t2	.0016	-1119.3912	-1119.3896	-1119.3921
NC_031969.f5.masked_11818001_11818999	t3	.0003	-1104.5128	-1098.1904	-1098.1901
NC_031969.f5.masked_11830001_11830999	t1	6.0413	-1200.3716	-1206.4129	-1213.4369
NC_031969.f5.masked_11844001_11844999	t1	.0228	-970.6948	-970.7186	-970.7176
NC_031969.f5.masked_11887001_11887999	t1	.0052	-1106.4675	-1106.4965	-1106.4727
NC_031969.f5.masked_11908001_11908999	t2	.0279	-1031.6190	-1031.5911	-1031.6296
NC_031969.f5.masked_11929001_11929999	t2	.0028	-1082.3295	-1082.3267	-1082.3517
NC_031969.f5.masked_11932001_11932999	t2	.0059	-1061.4089	-1061.4030	-1061.4100
NC_031969.f5.masked_11989001_11989999	t3	.0033	-1020.2263	-1020.3076	-1020.2230
NC_031969.f5.masked_12031001_12031999	t1	.2478	-1230.6837	-1230.9315	-1245.7540
NC_031969.f5.masked_12032001_12032999	t1	6.5410	-1195.3641	-1201.9051	-1201.9123
NC_031969.f5.masked_12035001_12035999	t3	.0006	-1060.9948	-1060.9948	-1060.9942
NC_031969.f5.masked_12043001_12043999	t2	.0099	-1124.8684	-1124.8509	-1124.8608
NC_031969.f5.masked_12087001_12087999	t3	.0009	-1097.7779	-1097.7772	-1097.7763
NC_031969.f5.masked_12092001_12092999	t3	.0004	-1200.2978	-1200.2978	-1200.2974
NC_031969.f5.masked_12110001_12110999	t1	8.2606	-957.8933	-966.1539	-966.2505
NC_031969.f5.masked_12139001_12139999	t3	.0046	-1325.2254	-1325.2270	-1325.2208
NC_031969.f5.masked_12151001_12151999	t1	6.7681	-1265.3778	-1272.1459	-1274.1901
NC_031969.f5.masked_12152001_12152999	t1	7.5753	-1059.4555	-1067.0308	-1067.0328
NC_031969.f5.masked_12158001_12158999	t1	.0001	-1237.1130	-1237.1131	-1237.1147
NC_031969.f5.masked_12169001_12169999	t3	.0003	-1093.7047	-1093.7048	-1093.7044
NC_031969.f5.masked_12170001_12170999	t2	.0008	-1041.7073	-1041.7065	-1041.7091
NC_031969.f5.masked_12172001_12172999	t1	7.7135	-925.6795	-933.3930	-933.4096
NC_031969.f5.masked_12174001_12174999	t2	.0002	-1002.5950	-1002.5946	-1002.5948
NC_031969.f5.masked_12175001_12175999	t3	.0202	-992.2003	-992.2083	-992.1801
NC_031969.f5.masked_12177001_12177999	t1	11.7789	-1233.8517	-1245.6306	-1248.3232
NC_031969.f5.masked_12178001_12178999	t3	.0004	-1330.5681	-1330.5687	-1330.5677
NC_031969.f5.masked_12180001_12180999	t1	4.7904	-1184.7784	-1189.5688	-1191.8634
NC_031969.f5.masked_12183001_12183999	t1	26.1186	-1366.8118	-1392.9316	-1392.9304
NC_031969.f5.masked_12187001_12187999	t2	.0033	-1490.3876	-1490.3843	-1490.3954
NC_031969.f5.masked_12188001_12188999	t2	.0018	-1293.6040	-1290.2920	-1290.2938
NC_031969.f5.masked_12224001_12224999	t2	.2395	-1036.6887	-1036.4492	-1040.5902
NC_031969.f5.masked_12264001_12264999	t2	.0015	-1109.0983	-1103.8442	-1103.8457
NC_031969.f5.masked_12265001_12265999	t1	13.3801	-1272.6733	-1286.0534	-1298.9642
NC_031969.f5.masked_12313001_12313999	t3	12.7131	-1093.1201	-1093.1246	-1080.4070
NC_031969.f5.masked_12317001_12317999	t1	.0003	-1007.9201	-1007.9232	-1007.9204
NC_031969.f5.masked_12351001_12351999	t2	9.4199	-1195.7578	-1186.3379	-1195.7588
NC_031969.f5.masked_12354001_12354999	t2	.0009	-1144.6157	-1144.6144	-1144.6153
NC_031969.f5.masked_12457001_12457999	t1	.0005	-1110.8043	-1110.8048	-1117.3997
NC_031969.f5.masked_12459001_12459999	t1	7.9934	-1369.5770	-1377.5704	-1377.5839
NC_031969.f5.masked_12460001_12460999	t1	21.0102	-1033.9750	-1054.9852	-1054.9875
NC_031969.f5.masked_12466001_12466999	t1	12.5854	-1165.2689	-1177.8551	-1177.8543
NC_031969.f5.masked_12467001_12467999	t1	7.6738	-988.0094	-995.6832	-995.6833
NC_031969.f5.masked_12476001_12476999	t1	5.9243	-1274.7265	-1280.6508	-1280.6508
NC_031969.f5.masked_12486001_12486999	t3	4.3853	-1179.6672	-1187.6125	-1175.2819
NC_031969.f5.masked_12501001_12501999	t2	.0026	-1019.5131	-1013.2460	-1013.2486
NC_031969.f5.masked_12507001_12507999	t1	7.8968	-1006.8792	-1014.7760	-1014.8203
NC_031969.f5.masked_12510001_12510999	t1	5.7797	-991.2774	-997.0571	-997.0575
NC_031969.f5.masked_12512001_12512999	t1	7.5439	-1129.3518	-1136.8957	-1137.0327
NC_031969.f5.masked_12513001_12513999	t2	7.6136	-1196.5330	-1188.8723	-1196.4859
NC_031969.f5.masked_12514001_12514999	t1	.0003	-1094.4099	-1094.4157	-1094.4102
NC_031969.f5.masked_12517001_12517999	t3	.0033	-1200.2984	-1200.2949	-1200.2916
NC_031969.f5.masked_12520001_12520999	t1	.0010	-1153.1663	-1153.1673	-1159.5980
NC_031969.f5.masked_12521001_12521999	t1	6.1169	-1110.6683	-1118.1583	-1116.7852
NC_031969.f5.masked_12522001_12522999	t1	6.1454	-1126.2167	-1132.8846	-1132.3621
NC_031969.f5.masked_12523001_12523999	t3	.0007	-1090.6686	-1090.6686	-1090.6679
NC_031969.f5.masked_12524001_12524999	t1	.0020	-1223.2458	-1223.2478	-1223.2602
NC_031969.f5.masked_12525001_12525999	t3	.0015	-1244.7122	-1252.2193	-1244.7107
NC_031969.f5.masked_12526001_12526999	t1	.0090	-1122.7222	-1129.9955	-1122.7312
NC_031969.f5.masked_12529001_12529999	t1	.0081	-1297.7510	-1297.7591	-1297.7914
NC_031969.f5.masked_12533001_12533999	t2	.0007	-1039.4305	-1039.4298	-1039.4606
NC_031969.f5.masked_12539001_12539999	t3	.0014	-1019.0047	-1019.0055	-1019.0033
NC_031969.f5.masked_12540001_12540999	t3	.0025	-985.5179	-985.5461	-985.5154
NC_031969.f5.masked_12541001_12541999	t1	.0004	-1153.6496	-1153.6500	-1153.6516
NC_031969.f5.masked_12542001_12542999	t2	6.6412	-1271.1530	-1264.5118	-1277.1822
NC_031969.f5.masked_12551001_12551999	t1	7.7306	-1145.1762	-1152.9068	-1152.9069
NC_031969.f5.masked_12552001_12552999	t1	.0015	-1024.5288	-1024.5303	-1039.6164
NC_031969.f5.masked_12554001_12554999	t1	.0003	-984.3701	-984.3708	-984.3704
NC_031969.f5.masked_12564001_12564999	t1	.0340	-1004.8876	-1004.9216	-1004.9599
NC_031969.f5.masked_12586001_12586999	t1	.0009	-1095.4177	-1095.4188	-1095.4186
NC_031969.f5.masked_12631001_12631999	t1	4.4694	-1110.8061	-1126.0918	-1115.2755
NC_031969.f5.masked_12632001_12632999	t1	12.6156	-1213.3751	-1225.9907	-1228.3847
NC_031969.f5.masked_12649001_12649999	t1	6.7670	-1276.2820	-1283.0490	-1296.3502
NC_031969.f5.masked_12650001_12650999	t1	.8525	-1201.7270	-1202.5795	-1202.5796
NC_031969.f5.masked_12651001_12651999	t1	6.7329	-1157.2950	-1164.0279	-1164.0525
NC_031969.f5.masked_12709001_12709999	t2	.0003	-1048.9199	-1048.9196	-1048.9199
NC_031969.f5.masked_12731001_12731999	t2	7.3586	-1109.7193	-1102.3157	-1109.6743
NC_031969.f5.masked_12733001_12733999	t1	.0428	-1334.9432	-1335.0104	-1334.9860
NC_031969.f5.masked_12734001_12734999	t3	.0031	-1040.8927	-1040.8929	-1040.8896
NC_031969.f5.masked_12739001_12739999	t2	12.9805	-1161.6564	-1148.6759	-1161.6564
NC_031969.f5.masked_12830001_12830999	t2	.6315	-1186.7363	-1185.8393	-1186.4708
NC_031969.f5.masked_12839001_12839999	t1	.0011	-1167.6637	-1167.6648	-1167.6896
NC_031969.f5.masked_12852001_12852999	t2	7.5670	-1159.8366	-1152.2696	-1159.8393
NC_031969.f5.masked_12991001_12991999	t1	8.1650	-1046.2737	-1054.4387	-1054.4408
NC_031969.f5.masked_13004001_13004999	t2	5.9404	-1187.8745	-1181.9335	-1187.8739
NC_031969.f5.masked_13046001_13046999	t2	7.2739	-1120.3342	-1113.0603	-1120.3503
NC_031969.f5.masked_13069001_13069999	t1	10.8554	-1075.4442	-1086.2996	-1089.8335
NC_031969.f5.masked_13073001_13073999	t3	.0012	-1105.2534	-1105.2531	-1105.2519
NC_031969.f5.masked_13075001_13075999	t2	6.5240	-1099.9539	-1091.6542	-1098.1782
NC_031969.f5.masked_13077001_13077999	t2	7.7195	-1053.4060	-1045.6865	-1060.3918
NC_031969.f5.masked_13133001_13133999	t1	.0008	-1028.0409	-1028.0418	-1028.0417
NC_031969.f5.masked_13141001_13141999	t3	1.3358	-1249.7360	-1256.0763	-1248.4002
NC_031969.f5.masked_13146001_13146999	t3	.9284	-1061.6436	-1061.6421	-1060.7137
NC_031969.f5.masked_13158001_13158999	t2	.0033	-1251.3273	-1251.3109	-1251.3142
NC_031969.f5.masked_13172001_13172999	t3	22.3396	-1244.1886	-1244.1901	-1221.8490
NC_031969.f5.masked_13173001_13173999	t2	.1546	-1096.0147	-1095.8601	-1096.0184
NC_031969.f5.masked_13176001_13176999	t2	.0173	-1284.7803	-1284.7630	-1284.8110
NC_031969.f5.masked_13177001_13177999	t3	.0003	-1034.2954	-1034.2954	-1034.2951
NC_031969.f5.masked_13178001_13178999	t2	.0002	-1005.1385	-1005.1381	-1005.1383
NC_031969.f5.masked_13182001_13182999	t1	.0764	-1121.6824	-1129.4451	-1121.7588
NC_031969.f5.masked_13183001_13183999	t3	.0168	-1244.8659	-1244.8659	-1244.8491
NC_031969.f5.masked_13184001_13184999	t1	19.8897	-1239.0293	-1258.9190	-1264.3146
NC_031969.f5.masked_13186001_13186999	t1	.0009	-1359.7636	-1359.7645	-1359.7645
NC_031969.f5.masked_13187001_13187999	t3	.0006	-1083.4028	-1090.6826	-1083.4022
NC_031969.f5.masked_13188001_13188999	t2	.0033	-1136.2490	-1136.1862	-1136.1895
NC_031969.f5.masked_13189001_13189999	t3	.0009	-1381.1803	-1381.1803	-1381.1794
NC_031969.f5.masked_13190001_13190999	t1	6.0366	-1192.2559	-1199.5853	-1198.2925
NC_031969.f5.masked_13194001_13194999	t1	.0004	-1188.1534	-1188.1541	-1188.1538
NC_031969.f5.masked_13205001_13205999	t1	.1443	-1091.8575	-1092.0024	-1092.0018
NC_031969.f5.masked_13212001_13212999	t3	.0016	-1352.2799	-1352.2799	-1352.2783
NC_031969.f5.masked_13213001_13213999	t1	.0128	-1222.8990	-1222.9118	-1222.9119
NC_031969.f5.masked_13214001_13214999	t3	.0006	-1075.9785	-1075.9785	-1075.9779
NC_031969.f5.masked_13236001_13236999	t1	19.4148	-1018.6401	-1038.0549	-1044.3475
NC_031969.f5.masked_13237001_13237999	t1	19.5483	-1114.9138	-1134.4623	-1134.4621
NC_031969.f5.masked_13238001_13238999	t3	.0087	-1070.4137	-1070.4078	-1070.3991
NC_031969.f5.masked_13244001_13244999	t2	2.7667	-1071.9263	-1069.1596	-1076.5821
NC_031969.f5.masked_13426001_13426999	t3	.0007	-1123.2401	-1123.2401	-1123.2394
NC_031969.f5.masked_13435001_13435999	t1	7.9639	-1050.0775	-1058.0429	-1058.0414
NC_031969.f5.masked_13440001_13440999	t2	.0001	-1062.6147	-1062.6146	-1062.6148
NC_031969.f5.masked_13459001_13459999	t3	.0059	-1100.7978	-1100.7963	-1100.7904
NC_031969.f5.masked_13485001_13485999	t3	.0001	-1043.7753	-1043.7754	-1043.7752
NC_031969.f5.masked_13486001_13486999	t1	.0007	-1035.1944	-1035.1951	-1040.7278
NC_031969.f5.masked_13487001_13487999	t1	7.0711	-984.1538	-991.2249	-991.3039
NC_031969.f5.masked_13488001_13488999	t1	.2848	-1073.8055	-1081.1937	-1074.0903
NC_031969.f5.masked_13499001_13499999	t2	.0019	-1010.1182	-1010.1163	-1010.1438
NC_031969.f5.masked_13503001_13503999	t3	.0145	-955.0441	-955.0606	-955.0296
NC_031969.f5.masked_13504001_13504999	t1	.0005	-1178.0142	-1178.0147	-1178.0148
NC_031969.f5.masked_13511001_13511999	t1	.0149	-1091.8957	-1091.9106	-1098.7526
NC_031969.f5.masked_13519001_13519999	t3	.0062	-1130.6177	-1130.6173	-1130.6111
NC_031969.f5.masked_13522001_13522999	t2	7.6747	-1072.4677	-1064.7930	-1072.4729
NC_031969.f5.masked_13523001_13523999	t1	.0043	-1090.4199	-1090.4330	-1090.4242
NC_031969.f5.masked_13525001_13525999	t3	.0011	-971.9314	-971.9314	-971.9303
NC_031969.f5.masked_13526001_13526999	t2	.0014	-1219.0018	-1219.0004	-1219.0043
NC_031969.f5.masked_13527001_13527999	t2	.0005	-1111.6166	-1111.6161	-1111.6166
NC_031969.f5.masked_13530001_13530999	t3	.0002	-965.2616	-965.2635	-965.2614
NC_031969.f5.masked_13537001_13537999	t1	.0003	-956.0151	-956.0154	-956.0223
NC_031969.f5.masked_13539001_13539999	t2	28.6237	-1113.2524	-1082.3264	-1110.9501
NC_031969.f5.masked_13546001_13546999	t3	8.8097	-1029.3261	-1029.3242	-1020.5145
NC_031969.f5.masked_13551001_13551999	t1	7.7635	-1240.3032	-1248.0667	-1254.5220
NC_031969.f5.masked_13552001_13552999	t1	14.5162	-1027.8831	-1042.6431	-1042.3993
NC_031969.f5.masked_13553001_13553999	t3	.0004	-1068.6150	-1068.6154	-1068.6146
NC_031969.f5.masked_13554001_13554999	t1	.0001	-991.5123	-991.5131	-991.5124
NC_031969.f5.masked_13556001_13556999	t3	.0002	-990.5959	-990.5953	-990.5951
NC_031969.f5.masked_13569001_13569999	t2	.1040	-1295.4383	-1295.3172	-1295.4212
NC_031969.f5.masked_13581001_13581999	t1	.0020	-1311.5910	-1311.6131	-1311.5930
NC_031969.f5.masked_13582001_13582999	t2	.0122	-1276.2437	-1276.2314	-1276.2436
NC_031969.f5.masked_13590001_13590999	t1	6.1118	-1063.4103	-1069.5221	-1069.5224
NC_031969.f5.masked_13591001_13591999	t1	10.0237	-1170.5283	-1180.5520	-1180.5525
NC_031969.f5.masked_13594001_13594999	t1	6.3072	-1334.7320	-1341.2276	-1341.0392
NC_031969.f5.masked_13596001_13596999	t1	.0003	-1031.3109	-1031.3112	-1038.3812
NC_031969.f5.masked_13599001_13599999	t1	7.5676	-1419.0503	-1426.6179	-1426.6950
NC_031969.f5.masked_13600001_13600999	t1	.0769	-1515.1422	-1515.2191	-1534.5208
NC_031969.f5.masked_13601001_13601999	t1	6.1271	-1117.5091	-1123.6362	-1123.6713
NC_031969.f5.masked_13606001_13606999	t2	.0006	-962.5652	-962.5646	-962.5652
NC_031969.f5.masked_13607001_13607999	t1	7.7119	-1263.8076	-1271.5199	-1271.5195
NC_031969.f5.masked_13610001_13610999	t1	.0002	-1201.6918	-1201.6920	-1201.6937
NC_031969.f5.masked_13638001_13638999	t2	.0001	-1233.2524	-1233.2521	-1233.2522
NC_031969.f5.masked_13652001_13652999	t1	.5374	-1158.0339	-1158.5713	-1158.6770
NC_031969.f5.masked_13653001_13653999	t2	.1414	-1082.4913	-1082.3499	-1082.4932
